57,95
43,91
33,96
31,107
41,116
57,124
58,135
49,139
34,140
83,119
92,118
101,114
103,106
96,97
88,97
79,102
72,111
80,120
81,132
88,136
93,137
103,139
139,95
127,95
117,102
117,117
117,128
125,132
135,133
145,133
174,132
162,128
155,112
155,100
165,92
177,92
183,101
187,112
187,124
187,131
187,132
192,134
199,129
209,92
213,97
215,100
221,109
219,118
219,122
224,133
221,107
222,104
231,92
231,92
249,88
253,98
254,100
253,115
251,122
251,134
251,139
251,111
251,111
256,97
259,94
264,91
271,92
274,96
275,100
276,106
277,106
280,102
282,97
287,93
287,92
290,92
294,92
298,94
299,104
300,105
301,105
302,107
302,120
305,124
305,125
305,134
298,119
298,116
320,90
321,90
324,94
329,100
329,100
332,105
333,108
334,110
349,88
349,88
347,99
347,100
347,104
343,109
342,113
342,124
341,126
338,133
335,138
335,138
51,91
42,92
34,102
34,108
35,112
47,117
47,118
53,121
58,126
58,136
57,142
46,143
46,143
34,143
41,141
72,109
72,111
73,115
73,116
75,122
75,132
78,102
83,97
95,95
99,99
101,107
177,92
171,92
166,92
162,95
156,102
155,104
155,108
156,117
157,119
158,121
160,124
167,128
169,128
173,130
179,130
183,126
184,118
184,112
183,89
139,92
138,92
134,93
131,98
123,100
120,104
119,108
119,117
119,126
126,133
136,132
139,132
139,132
208,92
211,98
215,100
231,93
231,96
227,100
223,104
223,110
223,120
222,126
220,132
396,72
396,74
392,80
383,80
383,80
379,90
379,96
379,96
379,100
380,102
382,107
384,110
385,113
387,116
386,120
380,123
377,128
376,140
376,140
379,142
381,142
387,145
389,151
392,158
394,160
44,193
44,193
44,193
40,194
38,197
37,199
31,216
31,218
31,209
33,205
33,204
30,220
31,228
31,228
31,228
31,228
31,228
34,229
35,229
43,232
46,234
62,235
68,230
58,236
51,236
51,236
43,193
47,190
47,190
53,188
53,188
55,188
91,207
89,208
86,212
80,220
83,230
85,233
91,235
100,232
107,229
109,225
109,220
106,208
99,207
140,206
131,206
131,207
126,212
126,216
126,216
126,220
127,228
131,232
139,233
153,229
157,229
160,224
159,214
144,206
149,228
153,209
179,203
179,203
179,209
179,212
179,216
179,224
181,228
181,232
181,242
181,240
179,225
179,224
186,208
191,201
194,201
226,207
226,207
219,207
215,212
212,222
209,229
209,232
209,240
210,240
220,240
226,240
231,236
231,223
229,207
229,203
229,185
229,184
229,194
233,211
233,224
235,235
237,236
240,236
247,239
251,239
263,200
265,200
265,212
265,217
265,222
265,238
265,239
266,230
264,218
264,218
265,201
265,201
263,186
263,186
267,207
286,199
286,200
287,204
287,211
287,212
287,216
287,227
287,232
287,240
288,231
289,224
290,220
295,209
299,196
305,195
300,200
298,204
297,211
305,198
306,198
312,203
313,205
318,220
319,225
319,227
319,235
319,238
319,235
318,223
316,216
349,194
342,198
335,200
331,204
330,208
330,216
332,224
333,230
339,232
349,234
356,228
356,228
356,216
356,208
356,201
356,199
356,216
360,227
363,230
365,232
381,176
381,176
372,186
376,176
376,179
376,188
376,192
378,200
379,206
380,219
383,227
386,230
391,231
397,229
400,224
377,211
370,199
370,198
379,196
383,196
397,193
390,196
424,201
425,201
439,201
432,200
433,200
443,199
447,199
451,191
451,191
446,188
438,189
427,192
427,192
417,200
416,204
416,208
419,212
421,220
423,224
437,228
445,228
444,231
430,224
437,227
449,230
451,230
426,188
491,189
487,189
478,190
475,191
473,195
471,199
471,206
472,206
475,208
485,211
491,214
493,215
495,218
495,220
491,225
487,228
480,230
471,228
27,291
27,291
31,290
41,289
44,289
46,290
39,291
43,293
50,292
57,291
68,291
71,291
73,291
77,291
70,291
67,291
52,294
59,292
74,291
80,291
86,291
87,291
92,291
94,291
94,291
103,292
103,292
139,266
139,266
138,267
138,267
135,268
133,270
129,276
127,278
125,280
125,284
125,286
126,295
129,300
130,300
132,303
136,307
143,307
151,307
141,263
147,264
148,265
152,276
153,283
147,284
139,286
138,285
131,280
168,268
169,269
172,277
175,282
176,292
179,299
180,302
183,308
186,307
191,294
193,290
195,286
199,280
199,275
199,275
199,273
222,276
225,275
233,275
238,275
239,272
226,264
225,264
219,273
216,278
216,287
218,284
219,288
219,296
220,304
231,309
232,309
239,308
240,307
233,260
235,260
237,263
239,265
241,266
259,269
259,269
259,271
260,276
261,279
263,285
263,290
264,296
266,300
267,302
267,289
274,275
275,271
278,265
274,272
274,276
274,280
272,284
294,265
295,265
300,275
302,274
299,270
300,277
303,286
304,286
324,262
324,264
323,268
319,272
318,274
315,278
314,280
310,288
306,295
305,296
303,301
299,306
299,307
345,263
345,263
344,268
344,268
345,270
348,279
348,281
348,288
348,296
348,298
348,300
348,302
349,306
338,277
338,277
341,276
363,270
356,273
355,274
355,274
384,278
385,279
385,285
385,286
385,290
385,294
385,295
386,296
386,299
386,304
384,264
384,264
397,268
402,276
403,278
403,279
403,287
404,292
407,298
407,300
407,292
406,288
406,282
410,273
412,272
424,264
419,273
416,267
417,267
423,268
424,271
427,274
433,279
434,284
432,288
432,284
445,264
440,272
440,276
443,271
451,261
453,265
455,270
458,274
458,284
459,292
460,299
459,300
459,302
485,274
485,274
488,273
493,275
498,275
503,275
508,272
509,269
509,262
502,254
499,253
495,256
487,260
482,264
479,270
478,276
478,282
478,284
478,292
478,292
482,298
488,300
498,300
503,300
514,296
531,238
539,242
543,244
549,255
549,260
543,272
543,277
543,277
550,266
550,266
547,279
547,280
547,281
551,288
555,297
556,303
553,311
552,314
543,322
542,323
